,City,Cloudiness %,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
381,katsuura,90,JP,1551660883,93,33.93,134.5,10.0,4.6
382,roald,92,NO,1551661259,86,62.58,6.12,3.33,1.0
383,alugan,92,PH,1551661470,99,12.22,125.48,25.39,3.47
384,alyangula,40,AU,1551657600,70,-13.85,136.42,31.0,2.6
385,barentu,0,ER,1551661471,54,15.11,37.59,13.89,1.17
386,celendin,44,PE,1551661471,75,-6.87,-78.15,16.02,0.67
387,hualmay,32,PE,1551661471,78,-11.1,-77.61,22.12,1.92
388,churapcha,0,RU,1551661472,53,62.0,132.43,-28.34,1.17
389,kampene,48,CD,1551661472,96,-3.59,26.67,20.14,0.97
390,prince rupert,1,CA,1551657600,12,54.32,-130.32,4.0,3.1
391,igatpuri,0,IN,1551661472,100,19.7,73.57,11.77,1.52
392,santa margherita ligure,40,IT,1551661373,82,44.33,9.21,13.0,6.2
393,manfredonia,0,IT,1551660741,61,41.63,15.91,10.0,2.07
394,wonthaggi,36,AU,1551661384,58,-38.6,145.59,25.0,1.34
395,porto nacional,20,BR,1551657600,94,-10.7,-48.41,25.0,2.1
396,diez,0,DE,1551661453,66,50.37,8.02,12.22,4.6
397,mitsamiouli,44,KM,1551661474,98,-11.38,43.28,28.19,4.32
398,tomatlan,0,MX,1551661474,65,19.93,-105.25,26.89,1.57
399,sur,0,OM,1551661475,100,22.57,59.53,19.52,1.57
400,deogarh,0,IN,1551661475,95,21.53,84.72,16.02,1.07
401,bonfim,0,BR,1551657600,64,-20.33,-44.24,24.0,2.1
402,flin flon,90,CA,1551657600,60,54.77,-101.88,-14.0,6.7
403,buenavista,40,CO,1551657600,73,4.36,-75.74,24.0,0.72
404,bulgan,0,MN,1551661313,56,48.81,103.53,-13.01,1.22
405,clyde river,1,CA,1551657600,83,70.47,-68.59,-23.0,0.87
406,moose factory,75,CA,1551657600,76,51.26,-80.61,-22.0,1.0
407,sao joao da barra,32,BR,1551661368,97,-21.64,-41.05,28.67,8.07
408,deputatskiy,0,RU,1551661478,49,69.3,139.9,-35.11,1.22
409,rio gallegos,40,AR,1551657600,58,-51.62,-69.22,12.0,5.1
410,magam,88,IN,1551661480,97,34.09,74.59,-0.16,0.62
411,ucluelet,40,CA,1551661227,56,48.94,-125.55,7.22,5.1
412,bambanglipuro,32,ID,1551661267,98,-7.95,110.28,24.14,1.87
413,montepuez,80,MZ,1551661481,97,-13.13,39.0,22.04,2.57
414,iquique,40,CL,1551657600,68,-20.22,-70.14,22.0,5.1
415,mount isa,0,AU,1551659400,33,-20.73,139.49,32.0,5.1
416,rafai,0,CF,1551661482,68,4.95,23.92,20.52,2.27
417,puerto colombia,40,CO,1551657600,78,10.99,-74.96,26.0,7.12
418,rorvik,8,NO,1551661202,79,64.86,11.24,-5.57,5.52
419,sokolo,0,ML,1551661483,42,14.74,-6.12,14.99,2.67
420,mathathane,56,BW,1551661483,80,-22.27,28.75,23.74,1.62
421,olga,40,US,1551661462,77,34.11,-118.17,16.67,2.1
422,kalmunai,44,LK,1551661333,97,7.42,81.82,22.92,1.22
423,camopi,56,GF,1551661484,71,3.17,-52.33,25.59,2.07
424,kayes,0,ML,1551661484,38,14.44,-11.44,17.49,3.02
425,pierre,20,US,1551661392,70,44.37,-100.35,-17.22,9.8
426,valdemarpils,90,LV,1551658800,93,57.37,22.59,4.0,5.7
427,veraval,90,FR,1551661384,71,49.65,0.71,11.67,12.9
428,sibenik,24,HR,1551661485,48,45.81,17.18,7.37,3.17
429,walvis bay,36,NA,1551657725,88,-22.95,14.51,19.44,0.5
430,vilyuysk,48,RU,1551661486,70,63.75,121.63,-18.86,2.32
431,lashio,32,MM,1551661486,86,22.93,97.75,11.42,0.67
432,petropavlovsk-kamchatskiy,56,RU,1551659400,48,53.05,158.65,-8.0,1.0
433,port keats,0,AU,1551661486,87,-14.25,129.55,29.74,4.27
434,outjo,20,NA,1551661334,37,-20.11,16.16,20.34,2.57
435,shieli,92,KZ,1551661487,95,44.18,66.74,4.39,4.82
436,tsogni,68,GA,1551661487,96,-2.79,10.1,27.67,1.77
437,kawanoe,75,JP,1551661446,100,34.02,133.57,13.0,3.6
438,iracoubo,36,GF,1551661488,65,5.48,-53.21,25.92,2.92
439,calabozo,20,VE,1551661488,36,8.92,-67.43,31.44,5.22
440,rozkishne,44,UA,1551661488,81,48.5,37.59,-4.11,5.82
441,port hawkesbury,1,CA,1551661393,85,45.62,-61.36,-6.67,2.1
442,tabou,8,CI,1551661489,95,4.42,-7.36,28.69,4.37
443,tazmalt,0,DZ,1551657600,93,36.39,4.4,10.0,3.6
444,pipri,44,IN,1551661490,98,24.21,83.02,12.84,1.22
445,mutoko,0,ZW,1551661490,89,-17.4,32.23,16.94,0.97
446,sioux lookout,40,CA,1551659280,53,50.1,-91.92,-21.0,2.1
447,kurilsk,64,RU,1551661490,100,45.23,147.88,-3.26,3.07
448,kulhudhuffushi,24,MV,1551661224,100,6.62,73.07,27.52,4.77
449,kavieng,8,PG,1551661491,97,-2.57,150.8,29.49,1.77
450,iqaluit,75,CA,1551661364,69,63.75,-68.52,-22.78,2.6
451,koumac,56,NC,1551661492,86,-20.56,164.28,27.17,4.87
452,flinders,0,AU,1551661445,45,-34.58,150.85,30.56,3.1
453,altay,76,CN,1551661492,63,47.83,88.13,-12.84,0.82
454,sihora,0,IN,1551661492,86,23.49,80.11,12.24,1.42
455,konosha,32,RU,1551661493,79,60.97,40.26,-12.39,1.77
456,atbasar,48,KZ,1551661493,91,51.81,68.36,-2.41,5.92
457,pangody,88,RU,1551661493,79,65.85,74.49,-7.89,7.82
458,kutum,0,SD,1551661219,34,14.2,24.66,14.29,3.87
459,port hardy,90,CA,1551658740,74,50.7,-127.42,1.0,9.3
460,mawlaik,0,MM,1551661494,72,23.63,94.42,13.54,1.07
461,sarakhs,12,TM,1551657600,65,36.54,61.16,8.0,1.0
462,soddy-daisy,90,US,1551661493,93,35.24,-85.19,7.0,4.1
463,udachnyy,56,RU,1551661495,81,66.42,112.4,-13.91,2.37
464,faanui,12,PF,1551661495,100,-16.48,-151.75,28.62,1.62
465,van,75,TR,1551657000,100,38.51,43.37,0.0,1.0
466,ginda,0,IN,1551661496,88,30.69,78.49,-2.21,1.12
467,birjand,0,IR,1551657600,80,32.86,59.22,4.0,2.1
468,nsanje,20,MZ,1551661496,93,-16.92,35.26,23.42,1.17
469,burlington,90,CA,1551661471,86,43.32,-79.8,-3.0,3.1
470,palu,24,ID,1551661449,88,-0.9,119.87,20.87,0.97
471,bitung,40,ID,1551659400,83,1.44,125.19,29.0,1.0
472,granja,88,BR,1551661498,96,-3.12,-40.83,23.87,1.27
473,luganville,0,VU,1551661498,91,-15.51,167.18,29.39,3.42
474,belmonte,92,PT,1551661224,94,40.36,-7.35,11.67,3.58
475,nkongsamba,80,CM,1551661499,97,4.95,9.94,21.79,1.12
476,dali,48,CN,1551661499,100,25.6,100.24,4.39,1.67
477,santa marta,75,CO,1551657600,55,11.24,-74.21,30.0,7.2
478,mosquera,75,CO,1551657600,87,4.71,-74.23,14.0,2.1
479,panaba,0,MX,1551661500,41,21.28,-88.27,30.24,3.97
480,north branch,1,US,1551661494,58,45.51,-92.98,-19.44,4.1
481,ayan,0,TR,1551661501,70,40.67,33.6,-9.56,1.17
482,ionia,1,US,1551661347,47,42.99,-85.07,-7.78,5.1
483,mandla,0,IN,1551661502,82,22.6,80.37,12.34,0.82
484,bandar-e lengeh,0,IR,1551657600,67,26.56,54.88,14.0,2.1
485,quatre cocos,64,MU,1551661447,81,-20.21,57.76,26.11,3.72
486,maniitsoq,64,GL,1551661503,82,65.42,-52.9,-9.01,0.72
487,pathein,0,MM,1551661503,90,16.78,94.73,17.09,1.52
488,vao,88,EE,1551661504,87,59.1,26.19,-5.16,3.57
489,yangjiang,100,CN,1551660946,64,21.85,111.96,23.89,6.57
490,kirovskiy,0,RU,1551661505,60,45.09,133.51,-0.14,1.57
491,druzhba,24,UA,1551661505,86,49.36,25.65,0.12,4.62
492,tarime,75,TZ,1551657600,83,-1.35,34.38,21.0,1.87
493,moranbah,0,AU,1551661506,60,-22.0,148.04,26.09,7.17
494,isangel,20,VU,1551661506,93,-19.55,169.27,29.04,3.12
495,chiredzi,12,ZW,1551661395,78,-21.05,31.67,24.49,2.87
496,touros,90,BR,1551661200,94,-5.2,-35.46,26.0,1.0
497,namatanai,12,PG,1551661507,100,-3.66,152.44,28.39,2.52
498,sorong,56,ID,1551661507,100,-0.86,131.25,27.34,4.92
499,mecca,0,SA,1551661871,80,21.43,39.83,8.37,2.07
500,birin,32,SY,1551661508,87,35.01,36.67,2.19,1.87
501,rio brilhante,0,BR,1551661508,46,-21.8,-54.54,25.89,2.97
502,dong hoi,92,VN,1551661287,100,17.48,106.6,22.69,0.82
503,synya,24,RU,1551661509,74,65.37,58.04,-19.76,3.22
504,omsukchan,80,RU,1551661509,63,62.53,155.8,-23.46,2.52
505,mezen,64,RU,1551661510,75,65.85,44.24,-14.96,1.17
506,djambala,36,CG,1551661510,96,-2.55,14.76,20.04,2.92
507,inyonga,80,TZ,1551661510,95,-6.72,32.06,17.27,1.12
508,paraguacu,100,BR,1551661510,94,-21.55,-45.74,19.74,2.52
509,quelimane,88,MZ,1551661511,93,-17.88,36.89,25.09,4.12
510,manresa,0,ES,1551661510,76,41.73,1.83,14.44,0.5
511,elko,90,US,1551661413,74,40.83,-115.76,2.0,1.5
512,kendari,48,ID,1551661512,96,-3.99,122.52,25.02,1.47
513,mojo,0,ET,1551657600,77,8.59,39.12,15.0,4.1
514,kenai,40,US,1551661468,80,60.55,-151.26,1.11,3.6
515,lodja,44,CD,1551661513,94,-3.52,23.6,22.14,0.87
516,hryshkivtsi,80,UA,1551661514,70,49.93,28.61,2.09,7.37
517,scarborough,88,GB,1551661509,75,54.28,-0.41,6.11,13.9
518,tokur,12,RU,1551661515,70,53.13,132.9,-15.01,1.02
519,pandan niog,8,PH,1551661515,97,6.23,120.56,27.54,3.87
520,slave lake,1,CA,1551657600,39,55.28,-114.77,-12.0,5.1
521,nemuro,20,JP,1551657600,95,43.32,145.57,0.0,6.2
522,aquiraz,20,BR,1551661200,74,-3.9,-38.39,27.78,1.5
