,City,Cloudiness %,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
371,namibe,12,AO,1551661235,100,-15.19,12.15,24.27,3.32
372,beringovskiy,56,RU,1551661264,92,63.05,179.32,0.87,7.97
373,greenville,90,US,1551661417,100,34.85,-82.4,11.67,1.5
374,suez,20,EG,1551661468,86,29.97,32.54,10.04,1.77
375,balabac,44,PH,1551661348,100,7.99,117.06,26.52,4.72
376,yatou,40,CM,1551657600,94,3.63,9.81,26.0,1.62
377,dusti,40,TJ,1551659400,93,37.35,68.68,6.0,1.0
378,tucumcari,90,US,1551657180,78,35.17,-103.73,-9.0,5.1
379,sao gabriel da cachoeira,20,BR,1551661469,92,-0.13,-67.09,24.84,1.02
380,cidreira,20,BR,1551661199,79,-30.17,-50.22,23.14,4.92
